ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
699;M       ;1.500.000;57;UNV     ;SOL     ;107;86;SANTIAGO        ;0;1.832.457;0;1.273.183;4.408;4.414;8.331;1;3.100.000;NO;NO ACEPTA;
700;M       ;70.000;45;UNV     ;SEP     ;55;90;SANTIAGO        ;0;1.945.210;0;0;68;0;0;1;8.000.000;NO;ACEPTA;
701;M       ;602.000;48;MED     ;SEP     ;90;90;SANTIAGO        ;0;700.000;0;193.871;0;0;0;1;1.800.000;NO;ACEPTA;
702;M       ;837.000;44;UNV     ;CAS     ;138;1;ARICA           ;2.286.842;35.041;0;853.085;2.861;0;861;1;1.400.000;SI;ACEPTA;
703;F       ;982.000;41;UNV     ;SOL     ;138;1;ARICA           ;0;399.947;0;407.773;243;0;19.968;2;4.600.000;SI;ACEPTA;
704;F       ;80.000;39;MED     ;SOL     ;83;89;SANTIAGO        ;0;69.242;0;403.209;515;24.184;364;1;3.700.000;SI;NO ACEPTA;
705;F       ;80.000;42;TEC     ;SOL     ;90;93;SANTIAGO        ;0;1.250.000;0;0;12;6.135;0;1;1.500.000;SI;NO ACEPTA;
706;F       ;3.210.000;53;MED     ;CAS     ;53;80;SANTIAGO        ;0;0;0;0;9.778;0;127.460;3;8.000.000;NO;NO ACEPTA;
707;M       ;1.015.000;32;UNV     ;CAS     ;90;93;SANTIAGO        ;0;800.000;0;351.516;1.202;0;510;3;3.900.000;NO;ACEPTA;
708;F       ;78.700;53;TEC     ;SOL     ;12;13;CALAMA          ;2.287.434;47.168;0;1.000.000;3.445;0;1.021;1;500.000;SI;NO ACEPTA;
709;M       ;2.062.000;42;MED     ;SOL     ;82;90;SANTIAGO        ;0;574.917;0;0;1;9.474;261;1;8.000.000;NO;ACEPTA;
710;M       ;869.000;52;MED     ;SOL     ;128;88;SANTIAGO        ;0;942.081;0;0;0;57.473;16.512;1;3.500.000;NO;ACEPTA;
711;F       ;596.000;61;MED     ;CAS     ;55;91;SANTIAGO        ;1.282.206;79.037;0;0;1.880;568;0;3;550.000;NO;NO ACEPTA;
712;M       ;2.200.000;47;UNV     ;SOL     ;45;88;SANTIAGO        ;0;1.300.000;0;0;0;0;203;1;8.000.000;NO;ACEPTA;
713;M       ;680.000;53;TEC     ;CAS     ;95;316;AYSEN           ;0;0;0;0;334;0;689;1;2.400.000;NO;NO ACEPTA;
714;M       ;64.800;44;UNV     ;CAS     ;55;90;SANTIAGO        ;0;118.156;0;625.718;226;0;604;1;1.800.000;NO;ACEPTA;
715;F       ;714.000;44;TEC     ;CAS     ;90;5;IQUIQUE         ;0;0;0;0;69;26.040;0;1;2.800.000;NO;NO ACEPTA;
716;M       ;600.000;41;MED     ;CAS     ;126;110;SANTIAGO        ;0;400.000;0;0;0;0;41;1;2.000.000;SI;ACEPTA;
717;M       ;800.000;48;MED     ;CAS     ;138;1;ARICA           ;0;100.256;0;210.389;224;0;8.454;1;3.800.000;SI;ACEPTA;
718;F       ;800.000;57;UNV     ;CAS     ;90;89;SANTIAGO        ;0;800.000;0;0;484;0;1;1;3.200.000;NO;NO ACEPTA;
719;F       ;2.100.000;52;MED     ;CAS     ;102;90;SANTIAGO        ;0;2.720.553;0;0;0;0;31;0;8.000.000;NO;NO ACEPTA;
720;M       ;710.000;36;UNV     ;CAS     ;63;301;ANCUD           ;0;449.860;0;89.985;1.283;0;0;1;1.600.000;NO;NO ACEPTA;
721;M       ;4.480.000;41;UNV     ;CAS     ;55;90;SANTIAGO        ;0;1.000.000;0;1.018.319;1.483;0;2.650;1;3.600.000;NO;ACEPTA;
722;M       ;3.000.000;42;MED     ;CAS     ;83;92;SANTIAGO        ;1.276.519;599.192;0;1.733.953;1.989;24.942;45.307;1;8.000.000;NO;NO ACEPTA;
723;M       ;2.600.000;41;UNV     ;CAS     ;60;291;PUERTO MONTT    ;0;115.440;0;4.500.000;7.960;14.085;4.566;3;7.700.000;SI;NO ACEPTA;
724;M       ;52.500;51;UNV     ;CAS     ;55;90;SANTIAGO        ;0;1.375.275;0;4.436.162;792;0;33.303;1;3.700.000;NO;ACEPTA;
725;F       ;67.000;41;TEC     ;SOL     ;52;86;SANTIAGO        ;0;209.365;0;0;104;33.489;0;1;5.600.000;SI;NO ACEPTA;
726;M       ;6.000.000;44;UNV     ;CAS     ;31;119;SANTIAGO        ;0;22.644;0;300.000;898;0;306;2;1.100.000;NO;ACEPTA;
727;M       ;782.000;40;UNV     ;CAS     ;31;119;SANTIAGO        ;0;222.652;0;245.688;2.220;0;38;2;1.700.000;NO;ACEPTA;
728;M       ;1.200.000;47;MED     ;CAS     ;138;1;ARICA           ;0;260;0;938.160;2.850;2.169;897;2;3.200.000;NO;ACEPTA;
729;M       ;1.193.000;28;UNV     ;CAS     ;27;226;CONCEPCION      ;0;500.000;0;23.441;0;0;206;1;5.500.000;NO;ACEPTA;
730;M       ;2.500.000;51;MED     ;CAS     ;13;16;ANTOFAGASTA     ;0;500.000;0;0;0;0;11.759;0;8.000.000;NO;NO ACEPTA;
731;M       ;750.000;55;UNV     ;SOL     ;27;226;CONCEPCION      ;0;426.436;0;719.429;2.284;0;1.336;2;1.500.000;NO;ACEPTA;
732;M       ;701.000;37;MED     ;CAS     ;15;67;VINA DEL MAR    ;0;355.848;0;0;1;0;0;1;2.500.000;NO;NO ACEPTA;
733;F       ;51.000;45;MED     ;SOL     ;65;74;SAN ANTONIO     ;0;0;0;296.761;0;0;303;0;2.400.000;SI;NO ACEPTA;
734;F       ;507.000;52;TEC     ;CAS     ;116;131;RANCAGUA        ;363.526;0;0;0;483;0;0;1;1.600.000;NO;NO ACEPTA;
735;M       ;5.500.000;43;MED     ;SEP     ;18;118;SANTIAGO        ;0;325.000;0;0;0;0;0;1;3.700.000;SI;ACEPTA;
736;M       ;1.241.000;47;MED     ;CAS     ;17;90;SANTIAGO        ;0;36.104;0;500.000;1.185;0;509;3;5.100.000;SI;ACEPTA;
737;F       ;550.000;61;MED     ;VIU     ;85;88;SANTIAGO        ;0;1.300.000;0;0;79;0;0;1;900.000;NO;NO ACEPTA;
738;M       ;750.000;47;UNV     ;CAS     ;61;90;SANTIAGO        ;1.298.347;0;0;670.028;1.389;0;481;2;2.400.000;NO;ACEPTA;
739;M       ;80.000;40;UNV     ;CAS     ;80;88;SANTIAGO        ;0;61.642;0;0;673;0;0;1;4.900.000;NO;ACEPTA;
740;M       ;1.800.000;42;MED     ;CAS     ;138;1;ARICA           ;3.354.043;500.000;0;0;3.694;0;2.895;1;7.000.000;NO;ACEPTA;
741;F       ;650.000;39;TEC     ;CAS     ;16;89;SANTIAGO        ;0;250.000;0;0;0;21.282;0;0;2.400.000;NO;NO ACEPTA;
742;M       ;821.000;40;MED     ;CAS     ;15;66;VALPARAISO      ;0;800.000;0;0;9;0;0;1;3.400.000;NO;NO ACEPTA;
743;F       ;605.000;42;MED     ;SOL     ;48;89;SANTIAGO        ;0;0;0;2.000.000;0;0;5.983;0;2.500.000;NO;NO ACEPTA;
744;F       ;1.000.000;28;UNV     ;CAS     ;44;173;TALCA           ;0;2.600.000;0;0;18;0;0;1;2.400.000;NO;NO ACEPTA;
745;M       ;1.000.000;41;UNV     ;CAS     ;138;1;ARICA           ;0;400.000;0;336.670;0;0;7.356;1;4.600.000;NO;ACEPTA;
746;F       ;6.480.000;40;TEC     ;VIU     ;60;284;OSORNO          ;0;9.570;0;500.000;1.403;0;1.972;1;3.600.000;NO;NO ACEPTA;
747;F       ;6.000.000;28;TEC     ;SOL     ;21;502;CHUQUICAMATA    ;0;445.011;0;1.331;40;0;0;1;1.400.000;NO;NO ACEPTA;
748;M       ;2.057.000;38;UNV     ;CAS     ;68;213;LOS ANGELES     ;0;973.247;0;0;11;0;40.322;2;8.000.000;NO;NO ACEPTA;
