ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
883;M       ;1000000;50;UNV     ;CAS     ;31;119;SANTIAGO        ;732485;325000;0;0;956;0;0;2;4000000;NO;ACEPTA;
884;F       ;3300000;56;UNV     ;CAS     ;13;16;ANTOFAGASTA     ;4543958;1126051;0;2999998;9319;90816;42455;1;8000000;NO;NO ACEPTA;
885;M       ;946000;46;UNV     ;CAS     ;54;89;SANTIAGO        ;0;633701;0;549435;0;35518;0;1;4100000;NO;ACEPTA;
886;M       ;600000;46;MED     ;CAS     ;10;131;RANCAGUA        ;0;0;0;0;2;30174;0;1;2400000;NO;NO ACEPTA;
887;M       ;820000;55;UNV     ;SOL     ;45;92;SANTIAGO        ;997557;490292;0;1000000;1330;0;1018;1;2700000;NO;ACEPTA;
888;F       ;540000;43;BAS     ;CAS     ;23;164;CURICO          ;0;0;0;0;0;0;0;0;2200000;NO;NO ACEPTA;
889;F       ;80000;45;TEC     ;SOL     ;74;272;VALDIVIA        ;0;325000;0;0;4489;16761;32;3;800000;SI;NO ACEPTA;
890;F       ;4900000;55;UNV     ;CAS     ;12;13;CALAMA          ;0;536831;0;50000000;1672;26816;262321;2;8000000;NO;NO ACEPTA;
891;F       ;1850000;49;MED     ;CAS     ;10;1;ARICA           ;509521;1082973;0;0;1383;0;0;2;8000000;NO;NO ACEPTA;
892;M       ;782000;40;UNV     ;CAS     ;31;119;SANTIAGO        ;0;222652;0;245688;2220;0;38;2;1700000;NO;ACEPTA;
893;M       ;1200000;47;TEC     ;CAS     ;19;92;SANTIAGO        ;0;308970;0;1457711;985;0;15086;3;5100000;NO;ACEPTA;
894;M       ;900000;40;TEC     ;CAS     ;10;5;IQUIQUE         ;0;149449;0;561638;384;0;536;1;4200000;SI;NO ACEPTA;
895;M       ;1316000;37;TEC     ;CAS     ;82;115;SANTIAGO        ;0;650000;0;0;732;439;0;1;5900000;NO;NO ACEPTA;
896;M       ;2000000;48;UNV     ;CAS     ;138;1;ARICA           ;4575186;6286;0;1000000;5187;0;1021;1;6900000;SI;ACEPTA;
897;M       ;1000000;37;MED     ;CAS     ;90;85;SANTIAGO        ;0;0;0;0;90;22691;0;1;5000000;NO;NO ACEPTA;
898;F       ;5010000;38;TEC     ;SOL     ;53;100;SANTIAGO        ;0;224185;0;49141;53;0;0;1;1600000;NO;NO ACEPTA;
899;M       ;881000;52;UNV     ;SOL     ;128;88;SANTIAGO        ;0;0;0;9810;840;27837;1059;2;3600000;NO;ACEPTA;
900;F       ;50100;47;TEC     ;SOL     ;37;80;SANTIAGO        ;0;34965;356529;300000;1977;0;3580;1;650000;SI;NO ACEPTA;
901;M       ;560000;55;TEC     ;CAS     ;45;84;SANTIAGO        ;0;400000;0;3432;183;0;4;1;1900000;SI;ACEPTA;
902;F       ;2349000;53;TEC     ;CAS     ;84;85;SANTIAGO        ;0;0;0;0;744;39255;436;1;8000000;NO;NO ACEPTA;
903;M       ;1800000;40;TEC     ;CAS     ;53;92;SANTIAGO        ;0;224911;0;16506;3189;29030;786;2;7700000;NO;ACEPTA;
904;F       ;500000;49;UNV     ;SOL     ;80;81;SANTIAGO        ;0;128846;0;188588;187;0;0;1;1900000;NO;ACEPTA;
905;M       ;48400;40;MED     ;CAS     ;55;90;SANTIAGO        ;0;-95772;0;502625;840;50080;0;2;8000000;NO;ACEPTA;
906;M       ;2434000;46;UNV     ;CAS     ;90;89;SANTIAGO        ;0;1250000;0;2292830;2001;38780;1043;1;8000000;NO;ACEPTA;
907;F       ;1020000;39;UNV     ;CAS     ;32;116;SANTIAGO        ;1130505;347209;0;150000;1415;0;1;1;3700000;NO;NO ACEPTA;
908;F       ;5190000;32;MED     ;SOL     ;64;314;COYHAIQUE       ;1211824;61573;0;69;1605;0;0;1;2300000;SI;NO ACEPTA;
909;M       ;1500000;57;UNV     ;CAS     ;90;90;SANTIAGO        ;0;111556;0;5971717;664;0;6095;1;6900000;NO;NO ACEPTA;
910;F       ;75000;58;MED     ;SOL     ;84;128;PENAFLOR        ;0;157950;7046942;568440;3086;64643;10465;1;7200000;SI;NO ACEPTA;
911;F       ;597000;47;MED     ;CAS     ;138;1;ARICA           ;0;0;0;0;44;0;0;1;2400000;NO;ACEPTA;
912;F       ;650000;30;TEC     ;SOL     ;90;85;SANTIAGO        ;0;750000;0;0;0;31463;0;0;1900000;NO;NO ACEPTA;
913;M       ;600000;34;MED     ;SOL     ;19;93;SANTIAGO        ;724207;341292;0;317968;1133;0;460;3;1300000;NO;NO ACEPTA;
914;M       ;1150000;40;UNV     ;CAS     ;31;119;SANTIAGO        ;3189393;92973;0;2057835;4716;0;2082;3;1100000;SI;ACEPTA;
915;M       ;3000000;46;TEC     ;CAS     ;93;88;SANTIAGO        ;0;6923740;0;0;0;37595;0;0;8000000;NO;NO ACEPTA;
916;F       ;1039000;46;MED     ;CAS     ;53;86;SANTIAGO        ;0;0;0;22394;0;0;23;0;5200000;NO;NO ACEPTA;
917;M       ;1600000;43;UNV     ;CAS     ;31;119;SANTIAGO        ;0;-26976;0;1000000;3196;0;1855;2;6500000;NO;ACEPTA;
918;M       ;65000;44;UNV     ;CAS     ;55;90;SANTIAGO        ;0;780000;0;0;2;0;0;1;2100000;NO;ACEPTA;
919;F       ;71600;50;MED     ;SOL     ;27;226;CONCEPCION      ;0;0;0;0;59;7126;0;1;2600000;SI;NO ACEPTA;
920;M       ;1554000;43;UNV     ;CAS     ;152;89;SANTIAGO        ;0;493178;0;1500000;6731;0;4674;3;2600000;NO;ACEPTA;
921;M       ;8180000;43;UNV     ;CAS     ;92;82;SANTIAGO        ;0;250000;0;0;216;7448;0;1;1600000;NO;ACEPTA;
922;F       ;1228000;52;MED     ;CAS     ;27;226;CONCEPCION      ;0;1256473;0;0;20;19514;11762;1;4900000;NO;NO ACEPTA;
923;M       ;90000;47;UNV     ;CAS     ;52;105;SANTIAGO        ;0;387888;0;0;99;0;0;2;5000000;NO;ACEPTA;
924;M       ;1100000;54;UNV     ;CAS     ;31;119;SANTIAGO        ;0;153687;0;1500000;1133;0;2560;2;4400000;NO;ACEPTA;
